epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.284,1.45814,2.38601,1.35314,0.57541,0.36585,0.42984,0.25206,1.37356,2.81809,1.20967,0.000659259,0.000659259,0.000659259
2,633.609,1.35996,1.60564,1.26623,0.63664,0.50214,0.56903,0.30971,1.48074,2.10744,1.41376,0.0013128,0.0013128,0.0013128
3,949.845,1.34606,1.35068,1.28073,0.59101,0.54878,0.53666,0.32025,1.56206,2.03429,1.42002,0.00195314,0.00195314,0.00195314
4,1265.58,1.32332,1.20661,1.2597,0.80199,0.61743,0.74316,0.44449,1.47018,1.35872,1.35379,0.0019406,0.0019406,0.0019406
5,1584.6,1.30381,1.10307,1.2442,0.76602,0.71951,0.7544,0.45508,1.38626,1.52755,1.26709,0.0019208,0.0019208,0.0019208
6,1902.52,1.27602,1.01453,1.22431,0.84533,0.79878,0.87344,0.51899,1.40323,1.11483,1.26775,0.001901,0.001901,0.001901
7,2218.39,1.2151,0.94556,1.19589,0.82547,0.83633,0.89481,0.57622,1.31797,0.91119,1.19791,0.0018812,0.0018812,0.0018812
8,2532.98,1.19925,0.95872,1.17485,0.81512,0.72561,0.83559,0.51878,1.34725,1.14686,1.25809,0.0018614,0.0018614,0.0018614
9,2846.52,1.18329,0.90741,1.16585,0.75819,0.92073,0.90856,0.56489,1.3009,0.90982,1.21501,0.0018416,0.0018416,0.0018416
10,3162.26,1.1602,0.84619,1.16146,0.87968,0.80248,0.88472,0.54406,1.27934,1.01333,1.26645,0.0018218,0.0018218,0.0018218
11,3480.79,1.16151,0.8308,1.16686,0.83801,0.82016,0.88861,0.56374,1.31469,0.92382,1.22524,0.001802,0.001802,0.001802
12,6063.11,1.11928,0.81684,1.13157,0.75929,0.7622,0.82856,0.51176,1.37815,1.05622,1.27401,0.0017822,0.0017822,0.0017822
13,6374.26,1.10451,0.77814,1.12954,0.82858,0.89634,0.93041,0.59166,1.25594,0.77718,1.19735,0.0017624,0.0017624,0.0017624
14,6636.13,1.12918,0.7711,1.15364,0.85499,0.84146,0.91365,0.55945,1.36962,0.83037,1.26083,0.0017426,0.0017426,0.0017426
15,6897.35,1.10348,0.76339,1.13644,0.92404,0.87805,0.95929,0.64946,1.24941,0.76258,1.17205,0.0017228,0.0017228,0.0017228
16,7157.56,1.09279,0.75668,1.13744,0.89537,0.87805,0.942,0.62778,1.14244,0.75463,1.13878,0.001703,0.001703,0.001703
17,7418.32,1.08512,0.73129,1.13002,0.89143,0.87805,0.95641,0.63418,1.1762,0.70225,1.14126,0.0016832,0.0016832,0.0016832
18,7680.14,1.08535,0.71658,1.11848,0.9149,0.91776,0.95766,0.64806,1.1558,0.64568,1.1268,0.0016634,0.0016634,0.0016634
19,7940.65,1.06215,0.6958,1.10126,0.83099,0.83946,0.87194,0.59857,1.24236,1.04373,1.18026,0.0016436,0.0016436,0.0016436
20,8200.47,1.07236,0.69919,1.11159,0.91594,0.86372,0.94183,0.65696,1.12673,0.68046,1.11509,0.0016238,0.0016238,0.0016238
21,8465.54,1.0647,0.69688,1.11323,0.93381,0.8602,0.95621,0.64071,1.19695,0.64271,1.15149,0.001604,0.001604,0.001604
22,8726.92,1.06843,0.69963,1.11464,0.94116,0.85366,0.94962,0.6308,1.23683,0.70952,1.14599,0.0015842,0.0015842,0.0015842
23,9006.84,1.03336,0.68527,1.09579,0.89201,0.89634,0.9605,0.65218,1.17232,0.70675,1.1207,0.0015644,0.0015644,0.0015644
24,9321.39,1.03372,0.652,1.10108,0.87055,0.86113,0.92204,0.63988,1.18977,0.7239,1.12726,0.0015446,0.0015446,0.0015446
25,9634.54,1.03396,0.6522,1.0953,0.89991,0.92073,0.96625,0.65381,1.18208,0.63411,1.15225,0.0015248,0.0015248,0.0015248
26,9948.21,1.05535,0.64983,1.10795,0.84924,0.92683,0.94504,0.66101,1.14257,0.6459,1.10845,0.001505,0.001505,0.001505
27,10262.1,0.99677,0.64002,1.0863,0.94472,0.93781,0.97162,0.65058,1.15105,0.62446,1.1243,0.0014852,0.0014852,0.0014852
28,10576.4,1.03425,0.64779,1.10482,0.873,0.92214,0.93952,0.6248,1.22719,0.69926,1.16415,0.0014654,0.0014654,0.0014654
29,10890.1,1.0085,0.64257,1.07831,0.8917,0.90366,0.96459,0.66736,1.12788,0.64369,1.10147,0.0014456,0.0014456,0.0014456
30,11205.4,1.01129,0.62502,1.07638,0.86915,0.90244,0.94492,0.65283,1.17623,0.6351,1.13919,0.0014258,0.0014258,0.0014258
31,11524.9,0.99383,0.61797,1.06849,0.92485,0.90048,0.96336,0.66448,1.15784,0.60818,1.12026,0.001406,0.001406,0.001406
32,11842.8,0.97887,0.6171,1.05726,0.90225,0.95683,0.97371,0.63345,1.19315,0.62799,1.13026,0.0013862,0.0013862,0.0013862
33,12159.4,0.96873,0.59099,1.07295,0.91875,0.96341,0.97357,0.65174,1.19245,0.57182,1.14597,0.0013664,0.0013664,0.0013664
34,12477.2,0.97048,0.57983,1.06254,0.83545,0.92875,0.95794,0.66481,1.15805,0.63827,1.12301,0.0013466,0.0013466,0.0013466
35,12791.8,0.98305,0.60099,1.06277,0.96683,0.87805,0.97436,0.67974,1.11756,0.56638,1.09582,0.0013268,0.0013268,0.0013268
36,13108.7,0.98565,0.61263,1.07647,0.97306,0.91463,0.97642,0.69536,1.08862,0.5255,1.08435,0.001307,0.001307,0.001307
37,13427.3,0.96034,0.56769,1.05708,0.92308,0.91463,0.96744,0.66934,1.14262,0.57627,1.11335,0.0012872,0.0012872,0.0012872
38,13749.5,0.96839,0.57365,1.06565,0.9459,0.93293,0.97853,0.67215,1.15364,0.55517,1.12923,0.0012674,0.0012674,0.0012674
39,14012,0.95048,0.6529,1.04629,0.94612,0.9878,0.98915,0.70472,1.14014,0.55139,1.10373,0.0012476,0.0012476,0.0012476
40,14276.7,0.94765,0.57334,1.04502,0.8971,0.90854,0.95496,0.67532,1.1414,0.56985,1.1104,0.0012278,0.0012278,0.0012278
41,14551,0.93759,0.56622,1.047,0.95605,0.92842,0.97856,0.69895,1.09634,0.51765,1.09061,0.001208,0.001208,0.001208
42,14873.4,0.92416,0.56222,1.03262,0.96091,0.89945,0.96173,0.67704,1.13208,0.55585,1.11027,0.0011882,0.0011882,0.0011882
